photo_no,photo,name,place,water,size,formaldehyde,carbonDioxide,negativeIon,relativeHumidity
0,https://www.f-mans.com/data/goods/1/2022/11/96_temp_16673473517732view.jpg,아레카야자,거실,자주,대,1.22,34,476,20
1,https://i.ytimg.com/vi/aARZUfo27Do/maxresdefault.jpg,부처손,거실,자주,대,9.68, - , - , - 
2,https://cdn.healthbiz.co.kr/news/photo/202108/4841_5442_1953.jpg,디펜바키아,거실,보통,"중, 소",2.48, - ,530,7.3
3,https://www.ozflower.co.kr/data/item/thumb-1563265176381l0_700x700.jpg,안스리움,"화장실, 주방",가끔,"중, 소",2.44, - ,91,24.4
4,https://m.eppflower.com/web/product/big/201707/1711_shop1_666126.jpg,돈나무,"거실, 베란다",가끔,대,0.88,6.9,182,29.9
5,https://blog.kakaocdn.net/dn/ccb58o/btqCUxfIezS/h4TvmAYcI9cNabTnZm0x6K/img.jpg,아이비,공부방,보통,소,1.24,37.6,429,26.4
6,https://i.pinimg.com/236x/a5/75/77/a57577dc59155bd90fdb5cff03afa4ef.jpg,백량금,"창가, 거실",보통,중,2.92, - , - , - 
7,https://www.ozflower.co.kr/data/item/thumb-1415066071l0_700x700.jpg,호접란,침실,가끔,소,1.24, - ,77,13.3
8,https://dangolflower.com/web/product/small/de96_c.jpg,온시디움,"침실, 베란다",자주,"중, 소",0.68, - ,203,12.1
9,https://m.35플라워.com/web/product/big/202012/038a77bf67ce854dcbd39d5513065dba.jpg,심비디움,"창가, 베란다",보통,"중, 소",0.28, - ,332,25.8
10,https://mblogthumb-phinf.pstatic.net/20131212_77/joymodem_13868540137005ArK9_JPEG/%B5%A7%C6%C4%B7%B92.jpg?type=w420,덴파레,거실,가끔,"중, 소",1.28, - ,250,10.6
11,https://cdn.011st.com/11dims/resize/600x600/quality/75/11src/product/2893900320/A2.jpg?282000000,나도풍란,"침실, 거실",보통,소,2.73, - ,119,16.7
12,https://contents.sixshop.com/thumbnails/uploadedFiles/59884/product/image_1624952861426_1500.jpg,보스턴고사리,"거실, 화장실",보통,"중, 소",1.86, - ,248,52.85
13,https://image.hmall.com/static/8/4/04/30/2130044813_0.jpg,넉줄고사리,거실,자주,소,8.3,126.4,325,15.2
14,https://mblogthumb-phinf.pstatic.net/20160507_127/muh8234_1462601821942llXpn_JPEG/%B9%AB%B4%CC%C1%A6%B6%F3%B4%BD0034.JPG?type=w800,제라니움,"베란다, 창가",보통,"중, 소",3.74,234.5,539,32.2
15,https://cdn.011st.com/11dims/resize/600x600/quality/75/11src/product/3461961823/B.jpg?203000000,장미허브,"공부방, 창가",가끔,소, - ,100.2,580,39.1
16,https://mblogthumb-phinf.pstatic.net/MjAxNzA3MDdfNzYg/MDAxNDk5Mzk0MzUyODM0.cWivq60yOVANzV4w4ba1mahI2EHVbfwl1wcXqh-1DVwg.HG19XHOpzzrwK7LKXMVld0Xn2tWNEZzLoyHLuKP6cXYg.JPEG.nong-up/자스민_폴리안섬2.jpg?type=w800,자스민폴리안섬,베란다,보통,중,1.68, - , - , - 
17,https://img1.daumcdn.net/thumb/R800x0/?scode=mtistory2&fname=https%3A%2F%2Ft1.daumcdn.net%2Fcfile%2Ftistory%2F9908E44D5E7AED7E2D,애플민트,공부방,가끔,소,1.78, - ,404,21.3
18,https://contents.lotteon.com/itemimage/_v002627/LO/17/73/62/41/11/_1/77/36/24/11/2/LO1773624111_1773624112_1.jpg/dims/optimize/dims/resizemc/400x400,로즈마리,공부방,보통,"중, 소",2.1, - ,734,45.4
19,https://www.esac.kr/shopimages/esac/mobile/5/114875_represent,레몬버베나,"거실, 베란다",보통,중, - ,220.7, - , - 
20,https://www.hstree.co.kr/prod_img/main_img/el003.jpg,라벤더,"창가, 베란다, 공부방",자주,"중, 소",4.24, - , - , - 
21,https://gdimg.gmarket.co.kr/2468473413/still/280?ver=1654653481,호야,"거실, 창가",가끔,소,0.74, - , - , - 
22,https://sitem.ssgcdn.com/34/25/98/item/1000373982534_i1_750.jpg,필로덴드론셀룸,"거실, 등",보통,중,1.52,108.1,483,15.2
23,https://sitem.ssgcdn.com/83/29/21/item/1000527212983_i1_750.jpg,페페로미아,거실,가끔,소,1.88, - , - , - 
24,https://cdn.011st.com/11dims/resize/600x600/quality/75/11src/product/5925126370/B.jpg?147000000,피토니아,공부방,보통,소, - ,14,616,27.1
25,https://f-mans.com/data/goods/1/2022/11/246_temp_16673617262098view.jpg,파키라,거실,가끔,"대, 중, 소",0.8, - ,100,13.5
26,https://blog.kakaocdn.net/dn/bnHHPB/btqJ0pv5QVy/qa8BxTmBQr8zUROCwk1YaK/img.png,쉐프렐라,"침실, 거실",보통,중,0.58, - ,450,24.9
27,https://qi-o.qoo10cdn.com/goods_image_big/8/0/6/3/10973488063_l.jpg,베고니아,거실,보통,"중, 소", - ,61,334,29.6
28,https://m.eppflower.com/web/product/big/201811/1f38c96c3323fc9572c418cceb892004.jpg,팔손이나무,"베란다, 거실, 공부방",가끔,대,1, - ,497,28.9
29,https://m.nongwonfarm.com/web/product/big/202211/5d31cad9b80e4726acd6fc05ae40bad1.png,인도고무나무,거실,가끔,대,1.64, - , - , - 
30,https://contents.sixshop.com/thumbnails/uploadedFiles/20883/product/image_1667789004043_750.jpg,벤자민고무나무,현관,보통,대,1.1,49,267,15.9
31,https://saleflower.co.kr/IS/U=sale1277/VA1003_01.jpg&S=500x500,벵갈고무나무,"거실, 창가",보통,중, - , - ,837,8.1
32,https://m.sicgoo.com/web/product/big/201707/35_shop1_945907.jpg,멕시코소철,"거실, 베란다",가끔,소,2.64, - , - , - 
33,https://mblogthumb-phinf.pstatic.net/MjAyMjA4MDlfODMg/MDAxNjYwMDEwOTEyODcy.mSM9Q1PCSs_sN3JVmDj7Z2PHsqKNmtkIn9IcTDM5YQIg.EjI5xFB_mjGPGnlI7CauoKuXJpd0wkvkDmF2SM0zXeUg.JPEG.rimya_plant/914D448B-CBC0-4912-8844-46BDF032E1EF.jpg?type=w800,디지고데카,거실,보통,대,2.26,75.8,432,13.2
